銘柄コード,銘柄名称,銘柄略称
2664,カワチ薬品,カワチ薬品
2666,オートウェーブ,オートウェーブ
2667,イメージ　ワン,イメージワン
2668,タビオ,タビオ
2669,カネ美食品,カネ美食品
2670,エービーシー・マート,ＡＢＣマート
2673,夢みつけ隊,夢みつけ隊
2674,ハードオフコーポレーション,ハードオフ
2676,高千穂交易,高千穂交
2678,アスクル,アスクル
2681,ゲオホールディングス,ゲオＨＤ
2683,魚喜,魚喜
2685,アンドエスティＨＤ,アンドエスティＨＤ
2686,ジーフット,ジーフット
2687,シー・ヴイ・エス・ベイエリア,ＣＶＳベイ
2689,オルバヘルスケアホールディングス,オルバヘルスケアＨＤ
2692,伊藤忠食品,伊藤忠食
2693,ＹＫＴ,ＹＫＴ
2694,焼肉坂井ホールディングス,焼肉坂井ＨＤ
2695,くら寿司,くら寿司
2698,キャンドゥ,キャンドゥ
2700,木徳神糧,木徳神糧
2702,日本マクドナルドホールディングス,マクドナルド
2705,大戸屋ホールディングス,大戸屋ＨＤ
2708,久世,久世
2721,ジェイホールディングス,ＪＨＤ
2722,ＩＫホールディングス,ＩＫホールディングス
2726,パルグループホールディングス,パルグループＨＤ
2730,エディオン,エディオン
2733,あらた,あらた
2734,サーラコーポレーション,サーラ
2735,ワッツ,ワッツ
2736,フェスタリアホールディングス,フェスタリアＨＤ
2737,トーメンデバイス,トーメンデバ
2742,ハローズ,ハローズ
2743,ピクセルカンパニーズ,ピクセル
2747,北雄ラッキー,北雄ラッキー
2749,ＪＰホールディングス,ＪＰＨＤ
2750,石光商事,石光商事
2751,テンポスホールディングス,テンポスＨＤ
2752,フジオフードグループ本社,フジオフードＧ本社
2753,あみやき亭,あみやき
2760,東京エレクトロン　デバイス,東エレデバ
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,ＳＡＮＫＯ　ＭＦ
2763,エフティグループ,エフティグループ
2764,ひらまつ,ひらまつ
2767,円谷フィールズホールディングス,円谷フィールズＨＤ
2768,双日,双日
2769,ヴィレッジヴァンガードコーポレーション,ヴィレッジＶ
2776,新都ホールディングス,新都ＨＤ
2778,パレモ・ホールディングス,パレモ・ＨＤ
2780,コメ兵ホールディングス,コメ兵ＨＤ
2782,セリア,セリア
2784,アルフレッサ　ホールディングス,アルフレッサＨＤ
2788,アップルインターナショナル,アップル
2789,カルラ,カルラ
2790,ナフコ,ナフコ
2791,大黒天物産,大黒天
2792,ハニーズホールディングス,ハニーズＨＬＤ
2795,日本プリメックス,プリメックス
2796,ファーマライズホールディングス,ファーマライズＨＤ
2798,ワイズテーブルコーポレーション,Ｙ’ｓ
2801,キッコーマン,キッコマン
2802,味の素,味の素
2804,ブルドックソース,ブルドックソース
2805,ヱスビー食品,エスビー食
2806,ユタカフーズ,ユタカフーズ
2809,キユーピー,キユーピー
2810,ハウス食品グループ本社,ハウス食Ｇ
2811,カゴメ,カゴメ
2813,和弘食品,和弘食品
2814,佐藤食品工業,佐藤食品
2815,アリアケジャパン,アリアケ
2816,ダイショー,ダイショー
2818,ピエトロ,ピエトロ
2819,エバラ食品工業,エバラ食品工業
2820,やまみ,やまみ
2830,アヲハタ,アヲハタ
2831,はごろもフーズ,はごろも
2836,グローバルＸ　フィンテック－日本株式　ＥＴＦ,ＧＸフィンテック日株
2837,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ,ＧＸ中小リーダー日株
2838,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）,ＭＸ米債７－１０ヘ無
2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）,ＭＸ米債７－１０ヘ有
2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）,ｉＦナス１００Ｈ無
2841,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）,ｉＦナス１００Ｈ有
